Cadena	Token	Posición	Línea
using	-21	-2	7
namespace	-21	-2	7
std	-21	-2	7
string	-21	-2	9
seleccionarArchivo	-21	-2	9
(	-71	-1	9
)	-72	-1	9
{	-75	-1	9
OPENFILENAME	-21	-2	10
ofn	-21	-2	10
char	-21	-2	11
szFile	-21	-2	11
[	-73	-1	11
MAX_PATH	-21	-2	11
]	-74	-1	11
=	-65	-1	11
ZeroMemory	-21	-2	13
(	-71	-1	13
ofn	-21	-2	13
sizeof	-21	-2	13
(	-71	-1	13
ofn	-21	-2	13
)	-72	-1	13
)	-72	-1	13
ofn	-21	-2	14
lStructSize	-21	-2	14
=	-65	-1	14
sizeof	-21	-2	14
(	-71	-1	14
ofn	-21	-2	14
)	-72	-1	14
ofn	-21	-2	15
hwndOwner	-21	-2	15
=	-65	-1	15
nullptr	-21	-2	15
ofn	-21	-2	16
lpstrFile	-21	-2	16
=	-65	-1	16
szFile	-21	-2	16
ofn	-21	-2	17
nMaxFile	-21	-2	17
=	-65	-1	17
sizeof	-21	-2	17
(	-71	-1	17
szFile	-21	-2	17
)	-72	-1	17
ofn	-21	-2	18
lpstrFilter	-21	-2	18
=	-65	-1	18
Archivos	-21	-2	18
de	-21	-2	18
texto	-21	-2	18
0	-41	-1	18
*	-53	-1	18
txt	-21	-2	18
0	-41	-1	18
Todos	-21	-2	18
los	-21	-2	18
archivos	-21	-2	18
0	-41	-1	18
*	-53	-1	18
*	-53	-1	18
0	-41	-1	18
ofn	-21	-2	19
nFilterIndex	-21	-2	19
=	-65	-1	19
1	-41	-1	19
ofn	-21	-2	20
lpstrFileTitle	-21	-2	20
=	-65	-1	20
nullptr	-21	-2	20
ofn	-21	-2	21
nMaxFileTitle	-21	-2	21
=	-65	-1	21
0	-41	-1	21
ofn	-21	-2	22
lpstrInitialDir	-21	-2	22
=	-65	-1	22
nullptr	-21	-2	22
ofn	-21	-2	23
Flags	-21	-2	23
=	-65	-1	23
OFN_PATHMUSTEXIST	-21	-2	23
OFN_FILEMUSTEXIST	-21	-2	23
if	-1	-1	25
(	-71	-1	25
GetOpenFileName	-21	-2	25
(	-71	-1	25
ofn	-21	-2	25
)	-72	-1	25
)	-72	-1	25
{	-75	-1	25
return	-21	-2	26
string	-21	-2	26
(	-71	-1	26
ofn	-21	-2	26
lpstrFile	-21	-2	26
)	-72	-1	26
}	-76	-1	27
else	-3	-1	27
{	-75	-1	27
return	-21	-2	28
}	-76	-1	29
}	-76	-1	30
void	-21	-2	32
contarLineas	-21	-2	32
(	-71	-1	32
)	-72	-1	32
{	-75	-1	32
string	-21	-2	33
rutaArchivo	-21	-2	33
=	-65	-1	33
seleccionarArchivo	-21	-2	33
(	-71	-1	33
)	-72	-1	33
if	-1	-1	35
(	-71	-1	35
rutaArchivo	-21	-2	35
empty	-21	-2	35
(	-71	-1	35
)	-72	-1	35
)	-72	-1	35
{	-75	-1	35
cout	-21	-2	36
<	-62	-1	36
<	-62	-1	36
nNo	-21	-2	36
se	-21	-2	36
seleccion	-21	-2	36
ning	-21	-2	36
n	-21	-2	36
archivo	-21	-2	36
n	-21	-2	36
<	-62	-1	36
<	-62	-1	36
endl	-21	-2	36
return	-21	-2	37
}	-76	-1	38
ifstream	-21	-2	40
archivo	-21	-2	40
(	-71	-1	40
rutaArchivo	-21	-2	40
)	-72	-1	40
if	-1	-1	41
(	-71	-1	41
archivo	-21	-2	41
is_open	-21	-2	41
(	-71	-1	41
)	-72	-1	41
)	-72	-1	41
{	-75	-1	41
cerr	-21	-2	42
<	-62	-1	42
<	-62	-1	42
nError	-21	-2	42
no	-21	-2	42
se	-21	-2	42
pudo	-21	-2	42
abrir	-21	-2	42
el	-21	-2	42
archivo	-21	-2	42
n	-21	-2	42
<	-62	-1	42
<	-62	-1	42
endl	-21	-2	42
return	-21	-2	43
}	-76	-1	44
int	-21	-2	46
contador	-21	-2	46
=	-65	-1	46
0	-41	-1	46
string	-21	-2	47
linea	-21	-2	47
while	-5	-1	48
(	-71	-1	48
getline	-21	-2	48
(	-71	-1	48
archivo	-21	-2	48
linea	-21	-2	48
)	-72	-1	48
)	-72	-1	48
{	-75	-1	48
contador	-21	-2	49
+	-51	-1	49
+	-51	-1	49
}	-76	-1	50
archivo	-21	-2	51
close	-21	-2	51
(	-71	-1	51
)	-72	-1	51
cout	-21	-2	53
<	-62	-1	53
<	-62	-1	53
nArchivo	-21	-2	53
seleccionado	-21	-2	53
<	-62	-1	53
<	-62	-1	53
rutaArchivo	-21	-2	53
<	-62	-1	53
<	-62	-1	53
endl	-21	-2	53
cout	-21	-2	54
<	-62	-1	54
<	-62	-1	54
Total	-21	-2	54
de	-21	-2	54
l	-21	-2	54
neas	-21	-2	54
<	-62	-1	54
<	-62	-1	54
contador	-21	-2	54
<	-62	-1	54
<	-62	-1	54
n	-21	-2	54
<	-62	-1	54
<	-62	-1	54
endl	-21	-2	54
}	-76	-1	55
int	-21	-2	57
main	-21	-2	57
(	-71	-1	57
)	-72	-1	57
{	-75	-1	57
int	-21	-2	58
opcion	-21	-2	58
do	-21	-2	60
{	-75	-1	60
cout	-21	-2	61
<	-62	-1	61
<	-62	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
==	0	-1	61
<	-62	-1	61
<	-62	-1	61
endl	-21	-2	61
cout	-21	-2	62
<	-62	-1	62
<	-62	-1	62
CONTADOR	-21	-2	62
DE	-21	-2	62
LINEAS	-21	-2	62
v1	-21	-2	62
0	-41	-1	62
<	-62	-1	62
<	-62	-1	62
endl	-21	-2	62
cout	-21	-2	63
<	-62	-1	63
<	-62	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
==	0	-1	63
<	-62	-1	63
<	-62	-1	63
endl	-21	-2	63
cout	-21	-2	64
<	-62	-1	64
<	-62	-1	64
1	-41	-1	64
)	-72	-1	64
Seleccionar	-21	-2	64
archivo	-21	-2	64
y	-21	-2	64
contar	-21	-2	64
lineas	-21	-2	64
<	-62	-1	64
<	-62	-1	64
endl	-21	-2	64
cout	-21	-2	65
<	-62	-1	65
<	-62	-1	65
2	-41	-1	65
)	-72	-1	65
Salir	-21	-2	65
<	-62	-1	65
<	-62	-1	65
endl	-21	-2	65
cout	-21	-2	66
<	-62	-1	66
<	-62	-1	66
Elige	-21	-2	66
una	-21	-2	66
opcion	-21	-2	66
cin	-21	-2	67
>	-61	-1	67
>	-61	-1	67
opcion	-21	-2	67
cin	-21	-2	68
ignore	-21	-2	68
(	-71	-1	68
)	-72	-1	68
switch	-21	-2	70
(	-71	-1	70
opcion	-21	-2	70
)	-72	-1	70
{	-75	-1	70
case	-21	-2	71
1	-41	-1	71
contarLineas	-21	-2	72
(	-71	-1	72
)	-72	-1	72
